gall_id,host_id,sourceURL,pageURL,phenophase,lifestage,viability,date,doy,latitude,longitude,site,state,country,AGDD32,AGDD50,yearend32,yearend50,percent32,percent50
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1989-05-17,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1989-05-19,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1989-05-20,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1989-05-22,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-23,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-24,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-25,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-26,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-27,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-28,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-29,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
760,451,https://www.gallformers.org/source/573,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1558-5646.1993.tb01262.x,maturing,,,1990-05-30,,45.401,-93.201,Cedar Creek,MN,USA,,,,,,
