"id","taxon.name","latitude","longitude","uri","Evidence_of_Presence","Life_Stage","Gall_phenophase","phenostage","doy","AGDD32","AGDD50","observed_on","Gall_phenophaseyr2","phenostage2","percent32","currentyearend","currentyear32","currentyear50","percent50","wrapdoy"
3637809,"Eurosta solidaginis",43.01456185,-88.31110823,"http://www.inaturalist.org/observations/3637809","Gall","","developing","developing",189,2897.09838867,1061.70214844,"2016-07-07","developing","developing",0.399126567612069,"2016-12-31",7258.59570312,3044.05908203,0.348778430322706,189
3681342,"Eurosta solidaginis",42.478768,-76.451143,"http://www.inaturalist.org/observations/3681342","Gall","","developing","developing",197,3047.92919922,1038.69812012,"2016-07-15","developing","developing",0.44640807982336,"2016-12-31",6827.67480469,2651.6862793,0.391712295767582,197
3759323,"Eurosta solidaginis",41.5691933642,-81.4157968295,"http://www.inaturalist.org/observations/3759323","Gall","","developing","developing",210,4149.83544922,1720.58288574,"2016-07-28","developing","developing",0.519781557347152,"2016-12-31",7983.80664062,3449.96826172,0.498724265040686,210
3785935,"Eurosta solidaginis",42.7902429505,-74.8640226201,"http://www.inaturalist.org/observations/3785935","Gall","","developing","developing",214,3510.27685547,1284.43383789,"2016-08-01","developing","developing",0.55017091231958,"2016-12-31",6380.33886719,2362.52514648,0.543669911748333,214
3824358,"Eurosta solidaginis",42.3749487241,-83.9214876492,"http://www.inaturalist.org/observations/3824358","Gall","","developing","developing",220,4285.03320312,1817.5390625,"2016-08-07","developing","developing",0.580540498988837,"2016-12-31",7381.10986328,3078.60913086,0.590376688057271,220
3889488,"Eurosta solidaginis",47.31163,-91.246085,"http://www.inaturalist.org/observations/3889488","Gall","","developing","developing",226,3272.56884766,1191.75195312,"2016-08-13","developing","developing",0.600523590561345,"2016-12-31",5449.52587891,1805.53320312,0.660055406934986,226
3891257,"Eurosta solidaginis",41.24589862,-73.66998946,"http://www.inaturalist.org/observations/3891257","Gall","","developing","developing",227,5039.61962891,2176.90917969,"2016-08-14","developing","developing",0.631245767696394,"2016-12-31",7983.609375,3317.01049805,0.656286490793369,227
3967221,"Eurosta solidaginis",42.8581035929,-72.720846003,"http://www.inaturalist.org/observations/3967221","Gall","","developing","developing",239,4400.08837891,1769.97521973,"2016-08-26","developing","developing",0.707615072106066,"2016-12-31",6218.19482422,2281.55249023,0.775776681583851,239
3985415,"Eurosta solidaginis",44.56582959,-72.84876644,"http://www.inaturalist.org/observations/3985415","Gall","","developing","developing",240,4225.82177734,1711.29455566,"2016-08-27","developing","developing",0.716541396211422,"2016-12-31",5897.52636719,2194.59399414,0.779777289206794,240
3985559,"Eurosta solidaginis",44.01252,-96.32384,"http://www.inaturalist.org/observations/3985559","Gall","","dormfall","dormfall",241,4831.60986328,2112.95581055,"2016-08-28","dormant","dormant",0.716595195221457,"2016-12-31",6742.45361328,2679.69506836,0.78850606380492,241
3989195,"Eurosta solidaginis",35.5756216667,-82.4964183333,"http://www.inaturalist.org/observations/3989195","Gall","","developing","developing",176,3702.02270508,1365.05578613,"2016-06-24","developing","developing",0.388182274510092,"2016-12-31",9536.81542969,4141.87841797,0.329574084117862,176
4017371,"Eurosta solidaginis",46.061999,-89.921701,"http://www.inaturalist.org/observations/4017371","Gall","","developing","developing",241,4071.71630859,1617.93725586,"2016-08-28","developing","developing",0.714245151727535,"2016-12-31",5700.7265625,2020.91174316,0.80059768138618,241
4050562,"Eurosta solidaginis",44.7673477,-71.7025262,"http://www.inaturalist.org/observations/4050562","Gall","","developing","developing",248,3975.05493164,1477.98779297,"2016-09-04","developing","developing",0.766209514859536,"2016-12-31",5187.94775391,1738.31262207,0.850242801096386,248
4056865,"Eurosta solidaginis",40.1725777778,-75.3035722222,"http://www.inaturalist.org/observations/4056865","Gall","","dormfall","dormfall",247,6237.58203125,2935.21386719,"2016-09-03","dormant","dormant",0.727017474846979,"2016-12-31",8579.68652344,3719.08569336,0.789229963813549,247
4066936,"Eurosta solidaginis",41.06633892,-81.60738707,"http://www.inaturalist.org/observations/4066936","Gall","","dormfall","dormfall",252,5896.03222656,2727.04321289,"2016-09-08","dormant","dormant",0.753716250883366,"2016-12-31",7822.61523438,3358.07763672,0.812084623378046,252
4069620,"Eurosta solidaginis",42.7898527778,-77.8229666667,"http://www.inaturalist.org/observations/4069620","Gall","","developing","developing",252,5479.72949219,2464.81958008,"2016-09-08","developing","developing",0.746840688583607,"2016-12-31",7337.21337891,3020.04663086,0.816152821911266,252
4069957,"Eurosta solidaginis",42.789346,-77.822784,"http://www.inaturalist.org/observations/4069957","Gall","","developing","developing",246,5257.03320312,2350.12353516,"2016-09-02","developing","developing",0.71648907175451,"2016-12-31",7337.21337891,3020.04663086,0.77817458549995,246
4078314,"Eurosta solidaginis",40.9795172,-81.3060352,"http://www.inaturalist.org/observations/4078314","Gall","","developing","developing",254,5941.83300781,2732.02905273,"2016-09-10","developing","developing",0.765498164301224,"2016-12-31",7762.04736328,3297.38208008,0.828544883904906,254
4079661,"Eurosta solidaginis",42.0585713,-84.3292833,"http://www.inaturalist.org/observations/4079661","Gall","","developing","developing",249,5382.57324219,2371.66088867,"2016-09-05","developing","developing",0.735260748363922,"2016-12-31",7320.63183594,2990.45532227,0.79307685054118,249
4127377,"Eurosta solidaginis",41.170514,-81.54808,"http://www.inaturalist.org/observations/4127377","Gall","","dormfall","dormfall",260,6355.00439453,3004.54956055,"2016-09-16","dormant","dormant",0.790166792259438,"2016-12-31",8042.61132812,3513.32836914,0.855186092749269,260
4182203,"Eurosta solidaginis",44.8824108,-86.0423027,"http://www.inaturalist.org/observations/4182203","Gall","","dormfall","dormfall",267,5201.95117188,2186.98095703,"2016-09-23","dormant","dormant",0.798051224937052,"2016-12-31",6518.31738281,2449.6184082,0.89278434131176,267
4197166,"Eurosta solidaginis",45.24523,-95.04077,"http://www.inaturalist.org/observations/4197166","Gall","","dormfall","dormfall",268,5608.24902344,2430.56445312,"2016-09-24","dormant","dormant",0.84951089693591,"2016-12-31",6601.73876953,2582.62841797,0.941120463249016,268
4228431,"Eurosta solidaginis",43.918272,-69.260134,"http://www.inaturalist.org/observations/4228431","Gall","","developing","developing",234,3450.13037109,924.07409668,"2016-08-21","developing","developing",0.602443343382795,"2016-12-31",5726.89599609,1507.91247559,0.612816799143755,234
