"","obs_id","gall_id","host_id","sourceURL","pageURL","phenophase","lifestage","viability","date","doy","latitude","longitude","site","state","country","AGDD32","AGDD50","yearend32","yearend50","percent32","percent50","host","gall"
"1",109,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/3571290","Flowering",NA,NA,"2016-06-30",182,45.6287616667,-122.762305,NA,NA,NA,3838.25488281,986.812805176,8544.60742188,2796.35131836,0.449202016347932,0.352892999780423,"canadensis",NA
"2",110,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/3902033","Flowering",NA,NA,"2016-08-16",229,41.5534920863,-88.009252399,NA,NA,NA,5076.53808594,2295.34057617,8056.11328125,3533.77539062,0.630147306611895,0.649543426631675,"canadensis",NA
"3",111,NA,451,"inaturalist.org","http://www.inaturalist.org/observations/3938699","Flowering",NA,NA,"2016-08-21",234,43.68125036,-72.31320674,NA,NA,NA,4208.60400391,1723.37316895,6172.65625,2346.86572266,0.681814089989217,0.73432968589131,"gigantea",NA
"4",112,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/3969175","Flower Budding",NA,NA,"2016-08-26",239,43.04350887,-70.71410912,NA,NA,NA,4533.98193359,1741.17480469,6688.83886719,2340.97900391,0.677842899734067,0.743780615623557,"rugosa",NA
"5",113,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4012333","Flowering",NA,NA,"2016-09-01",245,45.583,-122.537475,NA,NA,NA,6176.94921875,2160.61865234,8551.59472656,2757.42578125,0.722315476383054,0.783563665441811,"canadensis",NA
"6",114,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4054668","Flowering",NA,NA,"2016-09-07",251,43.2669969276,-72.869072333,NA,NA,NA,4488.55078125,1786.05737305,5728.18408203,2044.32128906,0.783590526591337,0.873667648332933,"altissima",NA
"7",115,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/4059183","Flowering",NA,NA,"2016-09-07",251,47.1363941487,-68.5637353454,NA,NA,NA,4012.8371582,1601.89025879,5097.98535156,1808.75476074,0.787141759238688,0.885631536988814,"rugosa",NA
"8",116,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/4102683","Flowering",NA,NA,"2016-09-13",257,44.0471502347,-73.0535721873,NA,NA,NA,4847.95751953,2073.80517578,5999.06591797,2315.20336914,0.808118728118674,0.895733482173676,"rugosa",NA
"9",117,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4123327","Flowering",NA,NA,"2016-09-16",260,42.2566621769,-71.3390553447,NA,NA,NA,6020.54736328,2668.02124023,7512.97216797,2994.02026367,0.801353609287594,0.891116627567377,"altissima",NA
"10",118,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/4124024","Flowering",NA,NA,"2016-09-16",260,44.7553284327,-72.6337474678,NA,NA,NA,4570.5234375,1841.82165527,5563.24023438,2028.67016602,0.821557805333453,0.907896062218644,"rugosa",NA
"11",119,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4129378","Flower Budding",NA,NA,"2016-09-17",261,42.3517549597,-71.1008878146,NA,NA,NA,6215.64941406,2772.953125,7799.94482422,3126.55322266,0.796883767018386,0.88690418090527,"altissima",NA
"12",120,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4129478","Flower Budding",NA,NA,"2016-09-17",261,42.3515608348,-71.0996649787,NA,NA,NA,6215.64941406,2772.953125,7799.94482422,3126.55322266,0.796883767018386,0.88690418090527,"altissima",NA
"13",121,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4138803","Flowering; Flower Budding",NA,NA,"2016-09-17",261,42.857472,-89.257527,NA,NA,NA,5901.59570312,2730.81494141,7427.39990234,3149.14404297,0.794570883582114,0.867161013960648,"canadensis",NA
"14",122,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4143595","Flowering",NA,NA,"2016-09-16",260,42.2464082712,-71.3364329548,NA,NA,NA,6019.0625,2661.13598633,7503.08154297,2985.09033203,0.802212059875526,0.891475865160939,"altissima",NA
"15",123,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/4157482","Flowering",NA,NA,"2016-09-19",263,43.794814,-72.245997,NA,NA,NA,5176.96923828,2165.15551758,6159.52636719,2331.52880859,0.840481707466374,0.92864197500068,"rugosa",NA
"16",124,NA,458,"inaturalist.org","http://www.inaturalist.org/observations/4183763","Flowering",NA,NA,"2016-09-23",267,40.4477638,-73.99446229,NA,NA,NA,6660.54003906,2942.87182617,8506.41308594,3392.80859375,0.783002185735491,0.867385160362762,"rugosa",NA
"17",125,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4189203","Flowering",NA,NA,"2016-09-24",268,40.5099902817,-88.0717445873,NA,NA,NA,6966.49267578,3385.43823242,8503.04492188,3835.62744141,0.819293881166481,0.882629578636942,"canadensis",NA
"18",126,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4191553","Flowering",NA,NA,"2016-09-24",268,40.45704272,-74.00281109,NA,NA,NA,6943.30859375,3155.7121582,8757.02929688,3590.19628906,0.792884020180656,0.878980396647405,"canadensis",NA
"19",127,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4199591","Flowering; Flower Budding",NA,NA,"2016-09-25",269,40.4761123657,-74.423614502,NA,NA,NA,7198.39453125,3462.62280273,8677.97753906,3761.7824707,0.829501401547731,0.920473958741604,"canadensis",NA
"20",128,NA,447,"inaturalist.org","http://www.inaturalist.org/observations/4222024","Flowering",NA,NA,"2016-08-26",239,40.302431,-75.039356,NA,NA,NA,5722.32470703,2597.98364258,8280.11523438,3493.79785156,0.691092399689106,0.743598729222409,"canadensis",NA
"21",129,NA,443,"inaturalist.org","http://www.inaturalist.org/observations/4297747","Flowering",NA,NA,"2016-10-06",280,42.3993890612,-71.092761643,NA,NA,NA,6791.37011719,3009.82348633,7812.49755859,3146.01123047,0.869295646655627,0.956710979661807,"altissima",NA
